fragment.ID.full,fragment.ID,species,genotype,chamber.channel,run,temp.Cat,start.time,stop.time,light_dark,treatment
BLANK2_L_36_O2,BLANK2_L,P. verrucosa,BLANK,1,L1,36,5:37:00 PM,5:57:00 PM,light,BLANK
PV3_L_37_O2,PV3_L,P. verrucosa,3,2,L1,37,6:07:00 PM,6:27:00 PM,light,enriched
PV6_L_37_O2,PV6_L,P. verrucosa,6,5,L1,37,6:07:00 PM,6:27:00 PM,light,enriched
PV8_L_37_O2,PV8_L,P. verrucosa,8,4,L1,37,6:07:00 PM,6:27:00 PM,light,enriched
PV11_L_37_O2,PV11_L,P. verrucosa,11,6,L1,37,6:07:00 PM,6:27:00 PM,light,enriched
PV21_L_37_O2,PV21_L,P. verrucosa,21,10,L1,37,6:07:00 PM,6:27:00 PM,light,control
PV29_L_37_O2,PV29_L,P. verrucosa,29,3,L1,37,6:07:00 PM,6:27:00 PM,light,control
PV30_L_37_O2,PV30_L,P. verrucosa,30,7,L1,37,6:07:00 PM,6:27:00 PM,light,control
PV32_L_37_O2,PV32_L,P. verrucosa,32,9,L1,37,6:07:00 PM,6:27:00 PM,light,control
BLANK1_L_37_O2,BLANK1_L,P. verrucosa,BLANK,8,L1,37,6:07:00 PM,6:27:00 PM,light,BLANK
BLANK2_L_37_O2,BLANK2_L,P. verrucosa,BLANK,1,L1,37,6:07:00 PM,6:27:00 PM,light,BLANK
PV1_D_20_O2,PV1_D,P. verrucosa,1,8,D2,20,3:58:00 AM,4:18:00 AM,dark,enriched
PV2_D_20_O2,PV2_D,P. verrucosa,2,4,D2,20,3:58:00 AM,4:18:00 AM,dark,enriched
PV7_D_20_O2,PV7_D,P. verrucosa,7,5,D2,20,3:58:00 AM,4:18:00 AM,dark,enriched
PV13_D_20_O2,PV13_D,P. verrucosa,13,2,D2,20,3:58:00 AM,4:18:00 AM,dark,enriched
PV17_D_20_O2,PV17_D,P. verrucosa,17,6,D2,20,3:58:00 AM,4:18:00 AM,dark,control
PV19_D_20_O2,PV19_D,P. verrucosa,19,3,D2,20,3:58:00 AM,4:18:00 AM,dark,control
