"","individual.ID","temp.Cat","treatment","Temp.C","umol.chl.ug.hr","rate.type","light_dark","fragment.ID"
"403","PV14",36,"enriched",35.6842641509434,37.8485057869597,"R","dark","PV14_D"
"404","PV15",36,"enriched",35.8940943396226,85.7364206815309,"R","dark","PV15_D"
"405","PV16",36,"enriched",35.5739811320755,13.135433387266,"R","dark","PV16_D"
"406","PV26",36,"control",35.8553773584906,31.0685283912341,"R","dark","PV26_D"
"407","PV27",36,"control",36.0577735849057,96.6165319850253,"R","dark","PV27_D"
"408","PV28",36,"control",35.5873962264151,26.9716768286969,"R","dark","PV28_D"
"409","PV31",36,"control",35.7668113207547,125.086725276824,"R","dark","PV31_D"
"412","PV12",37,"enriched",36.7565714285714,17.473246433695,"R","dark","PV12_D"
"413","PV14",37,"enriched",36.762693877551,32.5244571302832,"R","dark","PV14_D"
"414","PV15",37,"enriched",36.7555714285714,73.4784988103933,"R","dark","PV15_D"
"415","PV16",37,"enriched",36.8602653061225,11.0158539428693,"R","dark","PV16_D"
