"","tank.number","Date.Time","Temp"
"323",1,2019-10-19 04:38:00,26.879
"324",1,2019-10-19 05:08:00,26.781
"325",1,2019-10-19 05:38:00,26.781
"326",1,2019-10-19 06:08:00,26.683
"327",1,2019-10-19 06:38:00,26.585
"328",1,2019-10-19 07:08:00,26.585
"329",1,2019-10-19 07:38:00,26.488
"330",1,2019-10-19 08:08:00,26.39
"331",1,2019-10-19 08:38:00,26.39
"332",1,2019-10-19 09:08:00,26.39
"333",1,2019-10-19 09:38:00,26.39
"334",1,2019-10-19 10:08:00,26.39
"335",1,2019-10-19 10:38:00,26.488
"336",1,2019-10-19 11:08:00,26.683
"337",1,2019-10-19 11:38:00,26.879
"338",1,2019-10-19 12:08:00,27.173
"339",1,2019-10-19 12:38:00,27.272
"340",1,2019-10-19 13:08:00,27.665
"341",1,2019-10-19 13:38:00,27.961
"342",1,2019-10-19 14:08:00,28.159
"343",1,2019-10-19 14:38:00,28.357
"344",1,2019-10-19 15:08:00,28.456
"345",1,2019-10-19 15:38:00,28.655
"346",1,2019-10-19 16:08:00,28.555
"347",1,2019-10-19 16:38:00,28.456
"348",1,2019-10-19 17:08:00,28.456
"349",1,2019-10-19 17:38:00,28.456
"350",1,2019-10-19 18:08:00,28.456
"351",1,2019-10-19 18:38:00,28.456
"352",1,2019-10-19 19:08:00,28.456
"353",1,2019-10-19 19:38:00,28.357
"354",1,2019-10-19 20:08:00,28.258
"355",1,2019-10-19 20:38:00,28.159
"356",1,2019-10-19 21:08:00,28.06
"357",1,2019-10-19 21:38:00,27.862
"358",1,2019-10-19 22:08:00,27.764
"359",1,2019-10-19 22:38:00,27.665
"360",1,2019-10-19 23:08:00,27.567
"361",1,2019-10-19 23:38:00,27.468
"362",1,2019-10-20 00:08:00,27.37
"363",1,2019-10-20 00:38:00,27.272
"364",1,2019-10-20 01:08:00,27.272
"365",1,2019-10-20 01:38:00,27.173
"366",1,2019-10-20 02:08:00,27.075
"367",1,2019-10-20 02:38:00,26.977
"368",1,2019-10-20 03:08:00,26.977
"369",1,2019-10-20 03:38:00,26.879
"370",1,2019-10-20 04:08:00,26.879
"371",1,2019-10-20 04:38:00,26.781
"372",1,2019-10-20 05:08:00,26.781
"373",1,2019-10-20 05:38:00,26.683
"374",1,2019-10-20 06:08:00,26.683
"375",1,2019-10-20 06:38:00,26.683
"376",1,2019-10-20 07:08:00,26.585
"377",1,2019-10-20 07:38:00,26.585
"378",1,2019-10-20 08:08:00,26.488
"379",1,2019-10-20 08:38:00,26.488
"380",1,2019-10-20 09:08:00,26.39
"381",1,2019-10-20 09:38:00,26.488
"382",1,2019-10-20 10:08:00,26.488
"383",1,2019-10-20 10:38:00,26.488
"384",1,2019-10-20 11:08:00,26.585
"385",1,2019-10-20 11:38:00,26.683
"386",1,2019-10-20 12:08:00,26.781
"387",1,2019-10-20 12:38:00,26.977
"388",1,2019-10-20 13:08:00,27.173
"389",1,2019-10-20 13:38:00,27.37
"390",1,2019-10-20 14:08:00,27.665
"391",1,2019-10-20 14:38:00,27.862
"392",1,2019-10-20 15:08:00,28.06
"393",1,2019-10-20 15:38:00,28.159
"394",1,2019-10-20 16:08:00,28.357
"395",1,2019-10-20 16:38:00,28.456
"396",1,2019-10-20 17:08:00,28.456
"397",1,2019-10-20 17:38:00,28.555
"398",1,2019-10-20 18:08:00,28.555
"399",1,2019-10-20 18:38:00,28.555
"400",1,2019-10-20 19:08:00,28.357
"401",1,2019-10-20 19:38:00,28.258
"402",1,2019-10-20 20:08:00,28.06
"403",1,2019-10-20 20:38:00,27.862
"404",1,2019-10-20 21:08:00,27.764
"405",1,2019-10-20 21:38:00,27.567
"406",1,2019-10-20 22:08:00,27.468
"407",1,2019-10-20 22:38:00,27.272
"408",1,2019-10-20 23:08:00,27.173
"409",1,2019-10-20 23:38:00,27.075
"410",1,2019-10-21 00:08:00,26.977
"411",1,2019-10-21 00:38:00,26.879
"412",1,2019-10-21 01:08:00,26.781
"413",1,2019-10-21 01:38:00,26.683
"414",1,2019-10-21 02:08:00,26.683
"415",1,2019-10-21 02:38:00,26.585
"416",1,2019-10-21 03:08:00,26.585
"417",1,2019-10-21 03:38:00,26.488
"418",1,2019-10-21 04:08:00,26.488
"419",1,2019-10-21 04:38:00,26.39
"420",1,2019-10-21 05:08:00,26.292
"421",1,2019-10-21 05:38:00,26.292
"422",1,2019-10-21 06:08:00,26.292
"423",1,2019-10-21 06:38:00,26.195
"424",1,2019-10-21 07:08:00,26.195
"425",1,2019-10-21 07:38:00,26.097
"426",1,2019-10-21 08:08:00,26.097
"427",1,2019-10-21 08:38:00,26.097
"428",1,2019-10-21 09:08:00,26.097
"429",1,2019-10-21 09:38:00,26.097
"430",1,2019-10-21 10:08:00,26.097
"431",1,2019-10-21 10:38:00,26.195
"432",1,2019-10-21 11:08:00,26.292
"433",1,2019-10-21 11:38:00,26.488
"434",1,2019-10-21 12:08:00,26.683
"435",1,2019-10-21 12:38:00,26.879
"436",1,2019-10-21 13:08:00,27.075
"437",1,2019-10-21 13:38:00,27.173
"438",1,2019-10-21 14:08:00,27.37
"439",1,2019-10-21 14:38:00,27.567
"440",1,2019-10-21 15:08:00,27.764
"441",1,2019-10-21 15:38:00,27.961
"442",1,2019-10-21 16:08:00,28.258
"443",1,2019-10-21 16:38:00,28.357
"444",1,2019-10-21 17:08:00,28.555
"445",1,2019-10-21 17:38:00,28.456
"446",1,2019-10-21 18:08:00,28.258
"447",1,2019-10-21 18:38:00,28.159
"448",1,2019-10-21 19:08:00,28.06
"449",1,2019-10-21 19:38:00,27.862
"450",1,2019-10-21 20:08:00,27.764
"451",1,2019-10-21 20:38:00,27.665
"452",1,2019-10-21 21:08:00,27.567
"453",1,2019-10-21 21:38:00,27.468
"454",1,2019-10-21 22:08:00,27.37
"455",1,2019-10-21 22:38:00,27.272
"456",1,2019-10-21 23:08:00,27.173
"457",1,2019-10-21 23:38:00,27.075
"458",1,2019-10-22 00:08:00,26.977
"459",1,2019-10-22 00:38:00,26.879
"460",1,2019-10-22 01:08:00,26.781
"461",1,2019-10-22 01:38:00,26.683
"462",1,2019-10-22 02:08:00,26.585
"463",1,2019-10-22 02:38:00,26.488
"464",1,2019-10-22 03:08:00,26.39
"465",1,2019-10-22 03:38:00,26.39
"466",1,2019-10-22 04:08:00,26.292
"467",1,2019-10-22 04:38:00,26.292
"468",1,2019-10-22 05:08:00,26.195
"469",1,2019-10-22 05:38:00,26.195
"470",1,2019-10-22 06:08:00,26.097
"471",1,2019-10-22 06:38:00,26.097
"472",1,2019-10-22 07:08:00,26
"473",1,2019-10-22 07:38:00,26
"474",1,2019-10-22 08:08:00,25.902
"475",1,2019-10-22 08:38:00,25.902
"476",1,2019-10-22 09:08:00,25.902
"477",1,2019-10-22 09:38:00,25.805
"478",1,2019-10-22 10:08:00,25.902
"479",1,2019-10-22 10:38:00,26
"480",1,2019-10-22 11:08:00,26.097
"481",1,2019-10-22 11:38:00,26.292
"482",1,2019-10-22 12:08:00,26.585
"483",1,2019-10-22 12:38:00,26.781
"484",1,2019-10-22 13:08:00,27.075
"485",1,2019-10-22 13:38:00,27.272
"486",1,2019-10-22 14:08:00,27.567
"487",1,2019-10-22 14:38:00,27.764
"488",1,2019-10-22 15:08:00,28.06
"489",1,2019-10-22 15:38:00,28.258
"490",1,2019-10-22 16:08:00,28.357
"491",1,2019-10-22 16:38:00,28.456
"492",1,2019-10-22 17:08:00,28.555
"493",1,2019-10-22 17:38:00,28.555
"494",1,2019-10-22 18:08:00,28.456
"495",1,2019-10-22 18:38:00,28.456
"496",1,2019-10-22 19:08:00,28.258
"497",1,2019-10-22 19:38:00,28.258
"498",1,2019-10-22 20:08:00,28.06
"499",1,2019-10-22 20:38:00,28.06
"500",1,2019-10-22 21:08:00,27.862
"501",1,2019-10-22 21:38:00,27.764
"502",1,2019-10-22 22:08:00,27.665
"503",1,2019-10-22 22:38:00,27.567
"504",1,2019-10-22 23:08:00,27.468
"505",1,2019-10-22 23:38:00,27.37
"506",1,2019-10-23 00:08:00,27.272
"507",1,2019-10-23 00:38:00,27.173
"508",1,2019-10-23 01:08:00,27.075
"509",1,2019-10-23 01:38:00,26.977
"510",1,2019-10-23 02:08:00,26.879
"511",1,2019-10-23 02:38:00,26.781
"512",1,2019-10-23 03:08:00,26.683
