"","individual.ID","temp.Cat","treatment","Temp.C","umol.cm2.hr","rate.type","light_dark","fragment.ID"
"237","PV24",22,"control",21.9207551020408,0.393915145395627,"R","dark","PV24_D"
"238","PV4",22,"enriched",22.0567346938776,0.328267062757874,"R","dark","PV4_D"
"239","PV5",22,"enriched",22.0771020408163,0.373955424058126,"R","dark","PV5_D"
"240","PV9",22,"enriched",22.1126734693878,0.341722018391065,"R","dark","PV9_D"
"243","PV10",24,"enriched",24.3141,0.414629263054152,"R","dark","PV10_D"
"244","PV18",24,"control",24.14142,0.322841208033988,"R","dark","PV18_D"
"245","PV20",24,"control",24.23906,0.44717049125174,"R","dark","PV20_D"
"246","PV22",24,"control",24.26382,0.415235058913001,"R","dark","PV22_D"
"247","PV24",24,"control",24.17066,0.444484202843062,"R","dark","PV24_D"
"248","PV4",24,"enriched",24.17588,0.378916881879393,"R","dark","PV4_D"
"249","PV5",24,"enriched",24.2643,0.42005532330492,"R","dark","PV5_D"
"250","PV9",24,"enriched",24.32692,0.408491712389343,"R","dark","PV9_D"
"253","PV10",28,"enriched",28.2759387755102,0.538289926272006,"R","dark","PV10_D"
"254","PV18",28,"control",28.0611836734694,0.378582635737611,"R","dark","PV18_D"
"255","PV20",28,"control",28.2094081632653,0.526216411951896,"R","dark","PV20_D"
"256","PV22",28,"control",28.2214897959184,0.457314348082759,"R","dark","PV22_D"
"257","PV24",28,"control",28.1428775510204,0.541219638518636,"R","dark","PV24_D"
"258","PV4",28,"enriched",28.068,0.439262938623684,"R","dark","PV4_D"
"259","PV5",28,"enriched",28.1994489795918,0.484869635324986,"R","dark","PV5_D"
"260","PV9",28,"enriched",28.2845510204082,0.492179026834556,"R","dark","PV9_D"
"263","PV10",30,"enriched",30.0036326530612,0.575294777808865,"R","dark","PV10_D"
"264","PV18",30,"control",29.8315102040816,0.443453193836992,"R","dark","PV18_D"
"265","PV20",30,"control",29.9669183673469,0.570594626311786,"R","dark","PV20_D"
"266","PV22",30,"control",30.01,0.487110675015206,"R","dark","PV22_D"
"267","PV24",30,"control",29.9631428571429,0.659507086849242,"R","dark","PV24_D"
"268","PV4",30,"enriched",29.9628163265306,0.499003704631787,"R","dark","PV4_D"
"269","PV5",30,"enriched",29.9580816326531,0.584544822301727,"R","dark","PV5_D"
"270","PV9",30,"enriched",30.0588571428571,0.550881617751793,"R","dark","PV9_D"
"273","PV10",32,"enriched",31.9251632653061,0.654678189361647,"R","dark","PV10_D"
"274","PV18",32,"control",31.7169795918367,0.49117082043398,"R","dark","PV18_D"
"275","PV20",32,"control",31.8691020408163,0.748547364382865,"R","dark","PV20_D"
"276","PV22",32,"control",31.9331020408163,0.549422733808495,"R","dark","PV22_D"
"277","PV24",32,"control",31.8686326530612,0.729786012069773,"R","dark","PV24_D"
"278","PV4",32,"enriched",31.8083469387755,0.551704260673805,"R","dark","PV4_D"
"279","PV5",32,"enriched",31.8721632653061,0.61786983816992,"R","dark","PV5_D"
"280","PV9",32,"enriched",31.9740816326531,0.561660940518932,"R","dark","PV9_D"
"283","PV10",34,"enriched",34.0326734693878,0.67820767269057,"R","dark","PV10_D"
"284","PV18",34,"control",33.8292448979592,0.559507385803496,"R","dark","PV18_D"
"285","PV20",34,"control",34.1435714285714,0.810617541986746,"R","dark","PV20_D"
"286","PV22",34,"control",33.9720816326531,0.619664944541855,"R","dark","PV22_D"
"287","PV24",34,"control",33.892306122449,0.810102776760397,"R","dark","PV24_D"
"288","PV4",34,"enriched",34.0043469387755,0.66196667020892,"R","dark","PV4_D"
"289","PV5",34,"enriched",33.9045306122449,0.760903907892472,"R","dark","PV5_D"
"290","PV9",34,"enriched",34.1022857142857,0.698640176702108,"R","dark","PV9_D"
"293","PV10",36,"enriched",36.2284693877551,0.635289028327134,"R","dark","PV10_D"
"294","PV18",36,"control",35.9717959183673,0.466807267350255,"R","dark","PV18_D"
"295","PV20",36,"control",36.0862244897959,0.70274843295984,"R","dark","PV20_D"
"296","PV22",36,"control",36.2595,0.63717853075754,"R","dark","PV22_D"
"297","PV24",36,"control",35.9250816326531,0.735800153268503,"R","dark","PV24_D"
"298","PV4",36,"enriched",36.1159591836735,0.635701536061559,"R","dark","PV4_D"
"299","PV5",36,"enriched",36.1188571428571,0.708076177489474,"R","dark","PV5_D"
"300","PV9",36,"enriched",36.3026734693878,0.549162997580434,"R","dark","PV9_D"
"303","PV10",37,"enriched",36.9787755102041,0.523795062032727,"R","dark","PV10_D"
"304","PV18",37,"control",36.6884897959184,0.432513684654996,"R","dark","PV18_D"
"305","PV20",37,"control",36.9135102040816,0.613780669776107,"R","dark","PV20_D"
"306","PV22",37,"control",36.9301632653061,0.579707312957106,"R","dark","PV22_D"
"307","PV24",37,"control",36.7878979591837,0.683584095447918,"R","dark","PV24_D"
"308","PV4",37,"enriched",36.823612244898,0.538788105422608,"R","dark","PV4_D"
"309","PV5",37,"enriched",36.8743673469388,0.618932585446599,"R","dark","PV5_D"
"310","PV9",37,"enriched",37.0282857142857,0.434663386051516,"R","dark","PV9_D"
"313","PV10",38,"enriched",37.9069795918367,0.473239671830776,"R","dark","PV10_D"
"314","PV18",38,"control",38.058693877551,0.0924422678830883,"R","dark","PV18_D"
"315","PV20",38,"control",37.8134285714286,0.520475620442961,"R","dark","PV20_D"
"316","PV22",38,"control",37.9227142857143,0.457055409888419,"R","dark","PV22_D"
"317","PV24",38,"control",38.1228571428571,0.582919185078381,"R","dark","PV24_D"
"318","PV4",38,"enriched",38.0654693877551,0.497692853128241,"R","dark","PV4_D"
"319","PV5",38,"enriched",38.0917755102041,0.549337520090954,"R","dark","PV5_D"
"320","PV9",38,"enriched",37.9940612244898,0.353710131652953,"R","dark","PV9_D"
"322","PV10",39,"enriched",39.1183958333333,0.364853467031963,"R","dark","PV10_D"
"323","PV18",39,"control",38.7010416666667,0.396209714450235,"R","dark","PV18_D"
"324","PV20",39,"control",39.0467346938776,0.470479651114326,"R","dark","PV20_D"
"325","PV22",39,"control",39.0851458333333,0.435968282890809,"R","dark","PV22_D"
"326","PV24",39,"control",38.9780204081633,0.579785572547504,"R","dark","PV24_D"
"327","PV4",39,"enriched",38.902612244898,0.505856851698014,"R","dark","PV4_D"
"328","PV5",39,"enriched",38.8969375,0.591025338473714,"R","dark","PV5_D"
"329","PV9",39,"enriched",39.2268541666667,0.244674622604527,"R","dark","PV9_D"
"332","PV12",20,"enriched",20.1142040816327,0.395096437925897,"R","dark","PV12_D"
"333","PV14",20,"enriched",20.0947142857143,0.326208649971863,"R","dark","PV14_D"
"334","PV15",20,"enriched",20.0418367346939,0.272938939480246,"R","dark","PV15_D"
"335","PV16",20,"enriched",20.0931632653061,0.322237898366309,"R","dark","PV16_D"
"336","PV26",20,"control",20.2141632653061,0.221828662818631,"R","dark","PV26_D"
"337","PV27",20,"control",20.206125,0.255628278141665,"R","dark","PV27_D"
"338","PV28",20,"control",19.9975102040816,0.3067765219793,"R","dark","PV28_D"
"339","PV31",20,"control",20.1067142857143,0.40731113571071,"R","dark","PV31_D"
"342","PV12",22,"enriched",21.909306122449,0.37248794809152,"R","dark","PV12_D"
"343","PV14",22,"enriched",21.9418163265306,0.322171470308768,"R","dark","PV14_D"
"344","PV15",22,"enriched",21.942306122449,0.324509518043011,"R","dark","PV15_D"
"345","PV16",22,"enriched",22.0255714285714,0.316213314651344,"R","dark","PV16_D"
"346","PV26",22,"control",21.9934693877551,0.289382511893194,"R","dark","PV26_D"
"347","PV27",22,"control",22.0541632653061,0.255847467741544,"R","dark","PV27_D"
"348","PV28",22,"control",21.8362448979592,0.315635268182053,"R","dark","PV28_D"
"349","PV31",22,"control",21.9694285714286,0.399949362989773,"R","dark","PV31_D"
"352","PV12",24,"enriched",24.0540204081633,0.409486558077389,"R","dark","PV12_D"
"353","PV14",24,"enriched",24.0185833333333,0.346975425041934,"R","dark","PV14_D"
"354","PV15",24,"enriched",23.8648541666667,0.370357061368898,"R","dark","PV15_D"
"355","PV16",24,"enriched",24.064693877551,0.353106463154694,"R","dark","PV16_D"
"356","PV26",24,"control",24.13525,0.471829004259453,"R","dark","PV26_D"
"357","PV27",24,"control",24.1408333333333,0.277706133119136,"R","dark","PV27_D"
"358","PV28",24,"control",23.7919591836735,0.357880018565044,"R","dark","PV28_D"
"359","PV31",24,"control",23.9959166666667,0.430036652707992,"R","dark","PV31_D"
"362","PV12",28,"enriched",28.22346,0.564637859369914,"R","dark","PV12_D"
"363","PV14",28,"enriched",28.03632,0.45208811611709,"R","dark","PV14_D"
"364","PV15",28,"enriched",27.89396,0.442343887665699,"R","dark","PV15_D"
"365","PV16",28,"enriched",28.04202,0.423614266151072,"R","dark","PV16_D"
"366","PV26",28,"control",28.02544,0.389761861020769,"R","dark","PV26_D"
"367","PV27",28,"control",28.22178,0.360335949117133,"R","dark","PV27_D"
"368","PV28",28,"control",27.99206,0.426863162218477,"R","dark","PV28_D"
"369","PV31",28,"control",28.186,0.511663754077404,"R","dark","PV31_D"
"372","PV12",30,"enriched",30.09575,0.612593514995385,"R","dark","PV12_D"
"373","PV14",30,"enriched",30.050375,0.453179743503645,"R","dark","PV14_D"
"374","PV15",30,"enriched",29.9820816326531,0.492187897588458,"R","dark","PV15_D"
